"ac_type"|"cn_ln"|"crew_aboard"|"crew_fatalities"|"date"|"flight_no"|"ground"|"location"|"operator"|"passengers_aboard"|"passengers_fatalities"|"registration"|"route"|"summary"|"time"|"total_aboard"
"Britten-Norman BN-2A Islander"|"87"|"1"|"1"|"September 09, 1970"|"?"|"0"|"Orocovis, Puerto Rico"|"San Juan Air"|"0"|"0"|"N855JA"|"San Juan - Ponce"|"Struck a mountain."|"?"|"1"
"Cessna T337B"|"?"|"1"|"1"|"September 22, 1970"|"?"|"0"|"Cranbrook, Canada"|"Eagle Flight - Air Taxi"|"3"|"3"|"N2346S"|"Portland, OR - Cranbrook, Canada"|"Descended below minimum approach altitude for unknown reasons."|"08:25"|"4"
"Fokker F-27 Friendship 300"|"10356"|"4"|"1"|"September 26, 1970"|"?"|"0"|"Near Vagar, Faeroe Islands, Denmark"|"Icelandair"|"30"|"7"|"TF-FIL"|"?"|"Crashed into mountains on Mueggenaes Island at  an altitudwe of 1,500 ft., 2 miles off course, while descending, after holding for 20 minutes."|"?"|"34"
"Douglas DC-3-DST"|"3251"|"3"|"3"|"September 30, 1970"|"?"|"0"|"Near Da Nang, Vietnam"|"Air Vietnam (South Vietnam)"|"35"|"35"|"B- 305"|"Pleiku - Hue"|"Flew into high ground after being diverted to Da Nang in poor weather conditions."|"?"|"38"
"Antonov An-12B"|"7345003"|"1"|"1"|"October 01, 1970"|"?"|"0"|"Mys-Kammenyj, Russia"|"Aeroflot"|"7"|"7"|"CCCP-11031"|"?"|"Lost three engine while taking off and crashed. Malfunctioning fuel system."|"?"|"8"
"Lockheed C-130E"|"4025"|"6"|"6"|"October 02, 1970"|"?"|"0"|"Near Taipei, Taiwan"|"Military - U.S. Air Force"|"37"|"37"|"64-0536"|"Taipei - Ching Chuan Kang"|"The aircraft struck a mountain ridge 6 minutes after taking off from Taipei. Deviation off course while flying  IFR in zero visibility."|"14:07"|"43"
"Martin 404"|"14151"|"3"|"2"|"October 02, 1970"|"108"|"0"|"Mt. Trelease, near Silver Plume, Colorado"|"Charter, Golden Eagle Aviation Inc."|"37"|"30"|"N464M"|"Wichita - Denver - Logan, Utah"|"Two charter planes took off Wichita for a flight to Logan, Utah via Denver. The flight was uneventful to Denver.  The crew of N464M decided to fly a scenic route the rest of the way to Logan. The aircraft, which was overloaded by 5,165 lbs. , flew into a box canyon. Confronted with steeply rising terrain, the pilot made a sharp bank trying to turn around in the narrowing valley and stalled, crashing into a mountainous forested area on  Mt. Trelease. Numerous members and staff of the Wichita State Football team were killed. The pilot had only 123 total hours in a Martin 404, the copilot 30 hours. Intentional operation of the aircraft over a mountain valley route at an altitude from which the aircraft could neither climb over the obstructing terrain ahead, nor execute a successful course reversal. Other factors included overloaded conditions, lack of a flight planning and minimum qualifications of the crew."|"12:00"|"40"
"Aero Commander 500-B"|"?"|"1"|"1"|"October 04, 1970"|"?"|"0"|"Mahaffey, Pennsylvania"|"Private"|"1"|"1"|"N701X"|"Dubois, PA - Roanoak, VA"|"The aircraft crashed into a mountainside 20 minutes after taking off. NASCAR driver Curtis Turner, 46, was killed along with pro-golfer Clarence King. Tuner, who was flying the plane, had a blood alcohol of 0.17. Alcoholic impairment of efficiency and judgment.  Evidence showed that Turner had a severe heart attack prior to the accident."|"15:10"|"2"
"Douglas DC-3"|"16660/33408"|"1"|"1"|"October 06, 1970"|"?"|"0"|"Near Germiston, South Africa"|"National Airways"|"10"|"2"|"ZS-DKR"|"Johannesberg - Orapa Mine, Botswana"|"Shortly after takeoff, the No. 1 engine failed.  After feathering the prop, the crew tried to return to the airport but the plane crashed 1.2 miles from the airport. The plane was carrying employees of the Anglo American Corporation."|"?"|"11"
"Lockheed L-100-20 Hercules"|"4221"|"3"|"3"|"October 10, 1970"|"?"|"0"|"Fort Dix, New Jersey"|"Saturn Airways"|"0"|"0"|"N9248R"|"Dayton, OH - Ft. Dix, NJ"|"The crew of the cargo plane became disoriented and struck the ground 5,000 ft. short of the runway. Fog, low ceiling, spatial disorientation, improper IFR operation."|"21:30"|"3"
"Piper PA-28R"|"?"|"1"|"1"|"October 16, 1970"|"?"|"0"|"New Castle, Delaware"|"Delaware Aviation - Air Taxi"|"1"|"1"|"N7667J"|"Teleboro, NJ  - Wilmington, DE"|"Pilot received landing clearance then was observed in climbs, dives and turns below traffic pattern before crashing. Undetermined cause."|"16:49"|"2"
"Curtiss C-46D"|"33060"|"3"|"2"|"October 28, 1970"|"?"|"0"|"Pointe-à-Pitre, Guadeloupe"|"Aerocosta Colombia"|"1"|"0"|"HK-792"|"?"|"The cargo plane crashed while attempting to make an emergency landing."|"?"|"4"
"McDonnell Douglas DC-9-31"|"47245/510"|"4"|"4"|"November 14, 1970"|"932"|"0"|"Near Huntington, West Virginia"|"Southern Airways"|"71"|"71"|"N97S"|"Kingston, NC - Huntington, WV"|"While on approach, the aircraft crashed one mile short of Runway 11 at Tri-State Airport in rain and fog. Thirty-six players and 5 coaches on the Marshall University football team were among those killed. Improper procedures executed by the crew. Descent below Minimum Descent Altitude during a nonprecision approach under adverse operating conditions, without visual contact with the runway environment. The reason for this descent was not able to be determined, although the two most likely explanations are ( a ) improper use of cockpit instrumentation data, or (b) an altimetry system error ."|"19:36"|"75"
"de Havilland RU-6A Beaver /Bell UH-1H"|"?"|"?"|"?"|"November 24, 1970"|"?"|"0"|"Nar Can Tho, South Vietnam"|"Military - Vietnamese Air Force / Military - U.S. Army"|"?"|"?"|"53-03724/560"|"?"|"Mid-air collision at 1,200 ft."|"09:30"|"18"
"Fairchild C-123K"|"20236"|"6"|"6"|"November 27, 1970"|"?"|"0"|"Near Nha Trang, South Vietnam"|"Military - U.S. Air Force"|"73"|"73"|"55-4574"|"Saigon - Nha Trang AB"|"Crashed into high ground on a mountainside while on a flight from Saigon to Nha Trang Air Base. Cause unknown."|"c 13:30"|"79"
"McDonnell Douglas DC-8-63CF"|"46060/472"|"10"|"1"|"November 27, 1970"|"26"|"0"|"Anchorage, Alaska"|"Capitol Airlines"|"219"|"46"|"N4909C"|"Anchorage - Yokota AFB"|"The military charter overran the runway during takeoff, hit the ILS localizer support structure and burst into flames. The lack of acceleration, undetected by the crew  until after V1 speed was reached caused by the main landing gear wheels remaining locked after power was applied for takeoff on the icy runway due to brake or hydraulic failure."|"17:05"|"229"
"Fairchild C-123K"|"?"|"5"|"5"|"November 29, 1970"|"?"|"0"|"Near Cam Ranh, South Vietnam"|"Military - U.S. Air Force"|"39"|"37"|"54-0649"|"Cam Ranh Bay AB - Siagon"|"Crashed into the jungle 15 miles from it destination as the pilot prepared to land at Saigon in poor weather conditions."|"14:30"|"44"
"Canadair CL-44J"|"36"|"4"|"4"|"December 02, 1970"|"?"|"0"|"Dhaka, Bangladesh"|"Cargolux"|"0"|"0"|"TF-LLG"|"?"|"The cargo plane crashed while attempting to land. Malfunction of the hydraulic system caused the controls to lock."|"?"|"4"
"Douglas DC-3"|"12103"|"4"|"3"|"December 05, 1970"|"?"|"0"|"Delhi, India"|"Jamair"|"12"|"2"|"VT-CZC"|"?"|"The No. 2 engine failed on takeoff due to fuel starvation. The plane made a right turn, lost control and crashed."|"?"|"16"
"BAC One-Eleven  424EU"|"130"|"7"|"3"|"December 07, 1970"|"?"|"0"|"Near Constanta, Romania"|"Tarom"|"20"|"15"|"YR-BCA"|"Tel Aviv - Constanta"|"Crashed 4 kms short of the runway on approach in poor weather after being diverted to Bucurest."|"?"|"27"
"Antonov AN-22"|"9340205"|"?"|"?"|"December 19, 1970"|"?"|"0"|"Panarah, Pakistan"|"Military - Russian Air Force"|"?"|"?"|"CCCP-09305"|"?"|"Crashed during an emergency landing with engines on fire."|"?"|"17"
"Boeing B-727-2A7"|"20240"|"7"|"0"|"December 28, 1970"|"505"|"0"|"St. Thomas, Virgin Islands"|"Trans Caribbean Airways"|"48"|"2"|"N8790R"|"New York - St. Thomas"|"The aircraft experienced a hard landing which caused it to bounce. The crew executed a second touchdown which caused the main landing gear to fail. The aircraft veered off the right side of the runway, passed through the airport perimeter fence, crossed a paved highway and hit an embankment. Captain's use of improper techniques in recovering from a high bounce generated by a poorly executed approach and touchdown."|"14:42"|"55"
"Fokker F-27 Friendship 200"|"10330"|"4"|"0"|"December 31, 1970"|"?"|"0"|"Near Shemshernagar,  Pakistan"|"Pakistan International Airlines"|"31"|"7"|" AP-AUV"|"?"|"Crashed and burned on landing."|"?"|"35"
"Ilyushin IL-18B"|"181003603"|"3"|"3"|"December 31, 1970"|"?"|"0"|"Leningrad, USSR"|"Aeroflot"|"90"|"90"|"CCCP-75773"|"Leningrad - Erevan"|"The plane crashed during takeoff on a flight to Erevan."|"?"|"93"
"Nord 262E"|"002"|"3"|"3"|"December 31, 1970"|"?"|"0"|"Off Algiers, Algeria"|"Rousseau Aviation"|"28"|"28"|"F-BNGB"|"Algiers - Menorca"|"Ditched in the ocean. Mayday received. No trace of the plane ever found."|"?"|"31"
"de Havilland Comet 4C"|"6439"|"8"|"8"|"January 02, 1971"|"844"|"0"|"Ben Gashir, Libya"|"United Arab Airlines"|"8"|"8"|"SU-ALC"|"Algers - Boumediene"|"Crashed 7 kms from the runway in a sandstorm. Decision to land while visibility was below company minimums for that particular airport at night."|"?"|"16"
"Boeing B-707-323 / Cessna 150"|"19345 / ?"|"7"|"2"|"January 09, 1971"|"30"|"0"|"Edison, New Jersey"|"American Airlines / Private"|"14"|"0"|"N7595A/N60942"|"San Francisco, CA - Newark, NJ"|"Midair collision at 3,000 ft.  Failed to see and avoid other aircraft. The Boeing 707 landed safely. Two killed on the Cessna.  System permitted VFR operation in congested area in reduced visibility."|"16:20"|"21"
"Ilyushin IL-18"|"186009002"|"8"|"7"|"January 18, 1971"|"LZ130"|"0"|"Zurich, Switzerland"|"Balkan Bulgarian Airlines"|"39"|"38"|"LZ-BED"|"Paris - Zurich - Sofia"|"The crew decided while on the ground at Paris not to stop at Zurich but later, while in flight, changed their minds when they received reports of improving weather. The plane crashed during the approach to Zurich after drifting to the right and below the glide path. The left wing tip and landing gear struck the ground first."|"15:49"|"47"
"Curtiss-Wright C-46"|"?"|"5"|"5"|"January 21, 1971"|"?"|"0"|"Near Pacae, Peru"|"Fuerza Aérea del Peru"|"30"|"30"|"FAP-381"|"Mazamari - Lima"|"Crashed in the Andes mountains after experiencing engine trouble."|"07:35"|"35"
"Nord 262A-34"|"44"|"4"|"4"|"January 21, 1971"|"?"|"0"|"Near Privas, France"|"L'Armée de L'Air"|"17"|"17"|"F-RBOA"|"Paris - Orange"|"Crashed and exploded  in a snowstorm in mountainous terrain. Thirteen of France's nuclear weapons experts were killed."|"?"|"21"
"Antonov AN-12B"|"5343610"|"2"|"2"|"January 22, 1971"|"?"|"0"|"Surgut, USSR"|"Aeroflot"|"12"|"12"|"CCCP 11000"|"	Omsk - 	Surgut"|"Crashed 15 km short of the runway. Icing. The engine bleed valves were not open causing  the anti-icing system to become ineffective."|"21:36"|"14"
"Fokker F-27 Friendship 500"|"10428"|"5"|"1"|"January 23, 1971"|"?"|"0"|"Near Sokcho, South Korea"|"Korean Airlines"|"55"|"1"|"HL-5212"|"Kangnung - Seoul"|"Crash landed on a beach after a hijacker detonated grenades he was carrying. The hijacker and the co-pilot were killed by the grenade explosions."|"?"|"60"
"Vickers Viscount 749"|"94"|"4"|"1"|"January 25, 1971"|"?"|"0"|"Merida, Venezuela"|"Linea Aeropostal Venezolana"|"44"|"17"|"YV-C-AMV"|"Merida - Maiquetia"|"Crash landed onto Cruces de Daji mountain in the Andes eight minutes after taking off off from Merida."|"?"|"48"
"Antonov AN-10"|"00347403"|"?"|"?"|"January 31, 1971"|"?"|"0"|"Voroshilovgrad, Russia"|"Aeroflot"|"?"|"?"|"CCCP-12996"|"?"|"Aileron oscillations coincided with flap extension. The crew misunderstood aileron oscillations for asymmetrical flap extension and retracted the flaps. The airspeed dropped to 172 knots and the aileron suddenly deflected causing a left roll. The aircraft undershot the runway and crashed. The hinge moment reversal on the ailerons caused by icing."|"?"|"7"
"Piper PA-28"|"?"|"1"|"1"|"February 07, 1971"|"?"|"0"|"Aguadilla, Puerto Rico"|"Jamie Ramirez - Air Taxi"|"2"|"2"|"N3680K"|"Mona Is., PR - Mayaguez, PR"|"The pilot declared a engine problem and ditched into the ocean.  A search found no evidence of the aircraft or occupants."|"16:12"|"3"
"Curtiss C-46"|"26683"|"4"|"4"|"February 17, 1971"|"?"|"0"|"Mt. Cunatineuta, Ecuador"|"TAM (Transportes Aereos Militares)"|"8"|"8"|"TAM-60"|"La Paz - San Borja"|"Cashed into a mountain 15 minutes after taking off in poor weather conditions."|"?"|"12"
"Douglas DC-3"|"20363"|"4"|"4"|"March 26, 1971"|"?"|"0"|"Gauhati, India"|"Jamair"|"11"|"11"|"VT-ATT"|"Gauhati - Calcutta"|"Hit  a mountain after deviating from the prescribed course. Wreckage found 6 days later."|"?"|"15"
"Boeing B-720-047B"|"19439"|"5"|"5"|"March 31, 1971"|"366"|"0"|"Ontario, California"|"Western Airlines"|"0"|"0"|"N3166"|"Los Angeles - Ontairo"|"The aircraft, during a training flight suddenly rolled to the left and  crashed after a missed, 3 engine, ILS approach. Failure of the aircraft rudder hydraulic actuator support fitting which led to the loss of left rudder control. Stress corrosion cracks."|"06:33"|"5"
"Antonov An-10"|"8400701"|"8"|"8"|"March 31, 1971"|"1969"|"0"|"Vorochilovgrad, Ukraine"|"Aeroflot"|"57"|"57"|"CCCP-11145"|"Kuibyshev - Lugansk"|"Crashed on approach resulting from structural failure of the right outer wing."|"12:59"|"65"
"Douglas C-47A"|"13136"|"4"|"4"|"April 15, 1971"|"?"|"0"|"Near San Jose, Philippines"|"Military - Philippine Air Force"|"36"|"35"|"293246"|"Manila - Nichols AFB"|"Crashed into a rice field moments after taking off from Basa Air Base near Floridablanca. Climbed to 200 ft. banked to the left, stalled and crashed to the ground. Failure of the right engine. A young boy was the only survivor."|"07:00"|"40"
"Cessna TU206B"|"?"|"1"|"1"|"April 20, 1971"|"?"|"0"|"Kayenta, Arizona"|"Monument Valle - Air Taxi"|"1"|"1"|"N4960F"|"Kayenta, AZ - Tucon, AZ"|"The aircraft went into a spin at the top of a ridge and crashed. Moderate to severe turbulence was forcast in the area."|"09:45"|"2"
"Beech E18S"|"?"|"1"|"1"|"April 21, 1971"|"?"|"0"|"C. Amalie, Virgin Islands"|"Costal Airway"|"7"|"7"|"N456T"|"C. Amalie, VI - San Juan, PR"|"The plane crashed on take off after an engine failure. Inadequate maintenance and inspection of powerplants. Failed to follow approved procedures and directives. Improper emergency procedures."|"17:26"|"8"
"Beechcraft C35"|"?"|"1"|"1"|"April 22, 1971"|"?"|"0"|"Manchester, New Hampshire"|"New England Aviaiton"|"3"|"3"|"N144H"|"Manchester, NH - Boston, MS"|"The aircraft experienced engine failure during takeoff and crashed. Fuel starvation. Fuel selector positioned between tanks. Pilots unfamilarity with aircraft. Had only 1 hour in type aircraft."|"17:01"|"4"
"de Havilland 104-7X"|"04285"|"2"|"2"|"May 06, 1971"|"?"|"0"|"Coolidge, Arizona"|"Apache Airlines - Air Taxi"|"10"|"10"|"N4922V"|"Tucon, AZ - Phoenix, AZ"|"Crashed after the wing separated from the fuselage. Fractured due to fatigue which propagated in area of corrosion and fretting."|"13:15"|"12"
"Curtiss C-46A-55-CK"|"121"|"3"|"3"|"May 11, 1971"|"?"|"0"|"Guatemala City, Guatemala"|"Aviateca"|"32"|"2"|"TG-ACA-A"|"Guatemala City - Tikal"|"Crashed in a hill."|"?"|"35"
"Sud Aviation SA 318C"|"?"|"1"|"1"|"May 12, 1971"|"?"|"0"|"Anaktvk Pass, Alaska"|"Gay Airways - Air Taxi"|"3"|"1"|"N9222"|"Sagwon, AK - Local"|"The pilot suffered spatial disorientation in whiteout conditions. Continued VFR flight into adverse weather conditions."|"19:30"|"4"
"Tupolev TU-134A"|"1351205"|"7"|"3"|"May 23, 1971"|"130"|"0"|"Near Rijeka, Yugoslavia"|"Aviogenex (Yugoslavia)"|"76"|"75"|"YU-AHZ"|"London - Rijeka"|"The aircraft crashed on landing at Rijeka Airport during a heavy rain storm. After a too rapid descent, the aircraft landed extremely hard on the runway causing the left wing to separate. The aircraft turned over and slid 2,300 ft. and burst into flames. Improper handling of the flight and engine controls. Optical illusion due to the intense rain which caused a refraction of light."|"c 20:00"|"83"
"	Curtiss C-46"|"?"|"2"|"2"|"May 25, 1971"|"?"|"0"|"Santiago, Chile"|"	Aerolineas Flecha Austral - ALFA"|"2"|"2"|"	CC-CAZ"|"?"|"The cargo plane lost an engine while taking off and crashed 2 km from the airport.."|"16:26"|"4"
"Hawker Siddeley HS 125-400B (3)"|"25177/25181/25182"|"?"|"?"|"May 26, 1971"|"?"|"0"|"Near Capetown, South Africa"|"Military - South African Air Force"|"?"|"?"|"01 / 02 / 03"|"?"|"All three planes crashed into Devil's Peak  and exploded while flying in a V formation in heavy mist."|"15:00"|"11"
"Aero Commander 680E"|"491-161"|"1"|"1"|"May 28, 1971"|"?"|"0"|"Roanoke, Virginia"|"Private"|"5"|"5"|"N601JJ"|"Atlanta, GA - Martinsville, VA"|"The flight crashed into the side of a mountain during a thunderstorm. Continued VFR flight into adverse weather conditions.  Entered instrument weather at too low an altitude to clear mountain.  World War II hero and western movie star Audie Murphy, 46, killed."|"11:08"|"6"
"McDonnell Douglas DC-9-31 / F4-B"|"47441/503 / ?"|"7"|"6"|"June 06, 1971"|"706"|"0"|"Near Duarte, California"|"Hughes Airwest  / Military - US Marine Air Corps"|"44"|"44"|"N9345/151458"|"Los Angeles - Salt Lake City"|"The DC-9 was climbing to FL 330 under the radar control of the LA ATC and the F4 was en route to El Toro under VFR. Visibility was good with no clouds. The F-4 was not detected by LA ATC because of an inoperative transponder and a low level temperature inversion in the area. In addition an inoperative oxygen system caused the F-4 to fly at a lower altitude. The collision took place at 15,150 feet. Both planes crashed into the San Gabriel Mountains. The pilot on the F4 was killed when the forward canopy did not jettison. The other crew member parachuted to safety unhurt. All forty-nine aboard the DC-9 were killed. Failure of both crews to see and avoid each other and failure of the F4 crew to request radar advisory service, particularly considering the fact that they had  an inoperable transponder and flying at a lower altitude."|"17:11"|"51"
"Convair CV-580"|"384"|"3"|"2"|"June 07, 1971"|"485"|"0"|"New Haven, Connecticut"|"Allegheny Airlines"|"28"|"26"|"N5832"|"Washington D.C. - Newport News, VA - Philadelphia"|"The aircraft crashed into a row of beach houses, 4,980 feet short of the runway. Captain's intentional descent below minima under adverse weather conditions while trying to locate the runway despite advisories from 1st. officer."|"08:49"|"31"
"Boeing - EC-135N"|"18238"|"?"|"?"|"June 13, 1971"|"?"|"0"|"North Pacific Ocean"|"Military - U.S. Air Force"|"?"|"?"|"61-0331"|"Hickam AFB - Pango Pango"|"Disappeared while en route. Met with an undisclosed catastrophic event and plunged into the sea. Believed to  have struck the surface at high speed."|"13:30"|"24"
"Douglas DC-6"|"43043/83"|"2"|"2"|"June 17, 1971"|"?"|"0"|"Near Arica, Chile"|"SAVCO"|"4"|"4"|"CP-926"|"Santa Cruz - Arica"|"The aircraft struck Putre Mountain at an altitude of 18,000 feet.  Improper flight planning for IMC weather."|"14:30"|"6"
"Douglas DC-3"|"4642"|"3"|"2"|"June 28, 1971"|"?"|"0"|"Garberville, California"|"Shelter Cove Sea Park"|"21"|"15"|"N90627"|"Shelter Cove, CA - San Jose, CA"|"The aircraft was unable to gain height on takeoff. It struck a transformer and a building, became airborne and went off a cliff into the ocean. Failure of the pilot to remove the rudder and elavator gust locks."|"18:00"|"24"
"NAMC YS-11A-227"|"2134"|"4"|"4"|"July 03, 1971"|"63"|"0"|"Hokkaido, Japan"|"Toa Domestic Airline (Japan)"|"64"|"64"|"JA8764"|"Sapporo - Hakodate"|"The aircraft crashed into Yokotsu Mountain while on approach. Navigational error after strong winds caused flight to drift."|"c 18:10"|"68"
"Bell 206"|"?"|"1"|"1"|"July 21, 1971"|"?"|"0"|"Anchorage, Alaska"|"Anchorage Helicopter - Air Taxi"|"2"|"2"|"N7893S"|"Fairbanks, AK - Local"|"The aircraft took off from a roadside lodging, hit wires and crashed and burned. Pilot failed to see and avoid obstruction."|"22:15"|"3"
"Douglas DC-3"|"20505"|"2"|"2"|"July 24, 1971"|"?"|"0"|"Near Bamako, Mali"|"Air Ivoire"|"4"|"4"|"6V-AAP"|"?"|"Crashed into high terrain during a right turn on takeoff at night."|"?"|"6"
"Tupolev TU-104B"|"820202"|"8"|"4"|"July 25, 1971"|"1912"|"0"|"Near Irkutsk, Russia"|"Aeroflot"|"118"|"93"|"CCCP-42405"|"Novosibirsk - Irkutsk"|"While landing at Irkutsk Airport the aircraft landed short of the runway after an excessive rate of sink. The left wing separated and the plane burst into flames. Procedural errors by the crew."|"08:35"|"126"
"Boeing 707-321CF"|"?"|"4"|"4"|"July 25, 1971"|"?"|"0"|"Manila, Philippines"|"Pan American World Airways"|"0"|"0"|"N461PA"|"San Francisco - Honolulu - Guam - Manila - Siagon"|"While on a VOR/DME approach to Manila runway 24, the aircraft struck Mount Kamunay at an altitude of 2,525 feet, 20 miles east/northeast of the Manila VOR. The probable cause was improper crew coordination, which caused a premature descent."|"?"|"4"
"Boeing B-747-121"|"19639/2"|"21"|"0"|"July 30, 1971"|"845"|"0"|"San Francisco, California"|"Pan American World Airways"|"197"|"0"|"N747PA"|"San Francisco - Los Angeles"|"The aircraft struck approach lights at the departure end of runway during takeoff. Miscalculation of available runway length and takeoff reference speed by crew. Erroneous information from the dispatcher. The aircraft was named ""Clipper America."""|"14:29"|"218"
"Boeing B-727-281 / Air Force F86F"|"20436/788"|"9"|"8"|"July 30, 1971"|"58"|"0"|"Near Morioko, Japan"|"All Nippon Airways /  Japanese Air Force"|"155"|"155"|"JA8329 / ?"|"Sapporo - Tokyo"|"A Japan Air Self Defense Force F-86F fighter collided with the B-727. Both aircraft crashed, but the fighter pilot ejected safely. All one hundred sixty-two aboard the 727 were killed. The fighter pilot and his captain was indicted for involuntary homicide. The fighter pilot was acquitted but the captain was convicted and received 3 years in jail for not providing sufficient supervision of his wingman."|"c 14:00"|"164"
"Nord 2501 Noratlas"|"?"|"3"|"3"|"July 30, 1971"|"?"|"0"|"Near Pau, France"|"Military - French Air Force"|"36"|"34"|"49"|"Exercises"|"The plane, carrying parachute trainees, crashed in the flatlands of the Pyrenees during a final approach and after experiencing an engine fire. Two escaped by parachuting out of the plane before it crashed."|"15:00"|"39"
"Tupolev TU-104"|"?"|"?"|"?"|"August 11, 1971"|"?"|"0"|"Irkutsk, USSR"|"Aeroflot"|"?"|"?"|"?"|"Odessa - Irkutsk - Vladivostok"|"A few seconds after taking off the airliner lost altitude and slammed into the tarmac exploding in flames."|"?"|"100"
"Sikorsky S-55B"|"?"|"1"|"1"|"August 12, 1971"|"?"|"0"|"Valdez, Alaska"|"Trans Alaska Helicopter - Air Taxi"|"1"|"1"|"N5096V"|"Valdez, AK - Local"|"The helicopter crashed after the failure of the main rotor. Inadequate inspection and maintenance."|"14:27"|"2"
"Boeing Vertol CH-47A (helicopter)"|"?"|"5"|"5"|"August 18, 1971"|"?"|"0"|"Near Pegnitz, West Germany"|"Military - U.S. Army"|"32"|"32"|"66-19023"|"Ludwigsburg - Grafenwohr"|"The helicopter, carrying American troops to an exercise, crashed into a hayfield and exploded in flames. Fatigue failure of the rotor blade led to its failure and structural failure of the aircraft."|"09:40"|"37"
"Piper PA-31"|"31-422"|"1"|"1"|"August 19, 1971"|"?"|"0"|"Augusta, Maine"|"Downeast Airlines"|"7"|"2"|"N595DE"|"Boston, MA - Rockville, ME diverted to  Augusta ME"|"Crashed in dense fog while making an approach to Agusta State Airport. Discontinue VOR approach, attempted to maintain visual flight in IFR conditions at an altitude below obstructing terrain."|"20:40"|"8"
"Ilyushin IL-18D"|"181992903"|"9"|"9"|"August 28, 1971"|"?"|"0"|"Off Copenhagen, Denmark"|"Malev Hungarian Airlines"|"25"|"23"|"HA-MOC"|"Oslo, Norway - East Berlin, German"|"Disappeard from radar while eight miles short of the runway and crashed into the sea while on approach. Crew error. Crew flew below prescribed minimum altitiude."|"?"|"34"
"Boeing B-727-193"|"19304/287"|"7"|"7"|"September 04, 1971"|"1866"|"0"|"Near Juneau, Alaska"|"Alaska Airlines"|"104"|"104"|"N2969G"|"Anchorage - Seattle"|"The aircraft crashed into the slopes of Chikat Mountain in rain and fog while attempting a non-precision instrument landing at Juneau Municipal Airport. Display of misleading navigation information which resulted in the premature descent below obstacle clearance altitude. The crew didn't use all available navaids to check the position of the aircraft."|"11:15"|"111"
"BAC One-Eleven 515FB"|"207"|"6"|"1"|"September 06, 1971"|"112"|"0"|"Near Hasloh, Germany"|"Pan International"|"115"|"21"|"D-ALAR"|"Hamburg, Germany - Malaga, Spain"|"The aircraft collided with a bridge shearing off both wings after a double engine failure during takeoff.  A forced landing was attempted on a roadway. The water-injection system to cool the engines during takeoff was inadvertently filled with kerosene instead of water."|"18:21"|"121"
"Aero Commander 560-A"|"?"|"1"|"1"|"September 15, 1971"|"?"|"0"|"Jackson, Mississippi"|"C and C Aviation - Air Taxi"|"4"|"4"|"N2779B"|"Temple, TX - Columbus, GA"|"Collided with trees and crashed on final approach after experiencing engine failure. Fuel exhaustion. Mismanagement of fuel."|"00:16"|"5"
"Tupolev TU-134A"|"9350801"|"8"|"8"|"September 16, 1971"|"?"|"0"|"Kiev, Ukraine, USSR"|"Malev Hungarian Airlines"|"41"|"41"|"HA-LBD"|"Budapest - Kiev"|"While on approach to Kiev,   generator failed forcing the crew to switch to batteries. After two aborted attempts to land in fog, the plane crashed and broke up."|"?"|"49"
"Douglas DC-3"|"9334"|"2"|"2"|"September 16, 1971"|"?"|"0"|"Presevo, Russia"|"Yemen Airlines"|"3"|"3"|"4W-ABI"|"?"|"Crashed while taking off. Icing."|"?"|"5"
"Antonov An-14"|"?"|"?"|"?"|"September 17, 1971"|"?"|"0"|"Rila mountain, Bulgaria"|"Balkan Bulgarian Airlines"|"?"|"?"|"?"|"Kardjali - Sofia"|"Crashed on Sveti Duh peak in the Rila mountains while en route. While giving directions to the aircraft, the ATC confused the aircraft with another Turkish aircraft which was flying almost the same route, but at 9000 m altitude."|"07:30"|"9"
"Douglas DC-3"|"4977"|"4"|"4"|"September 28, 1971"|"?"|"0"|"Sena Madureira, Brazil"|"Cruzeiro"|"28"|"28"|"PP-CBV"|"Cruzerio do Sul - Rio Branco"|"The aircraft tried to return to the airport after an engine fire but the right wing struck trees and it crashed in the Amazon jungle."|"?"|"32"
"Vickers Vanguard 951"|"706"|"8"|"8"|"October 02, 1971"|"706"|"0"|"Near Aarsele, West Vlaanderen, Belgium"|"British European Airways"|"55"|"55"|"G-APEC"|"London - Salzburg"|"While en route a distress message was received from the aircraft after which it crashed and burst into flames.  The elevators and tailplane were destroyed when the rear pressure bulkhead ruptured at 19,000 feet. The airplane rapidly nosed down and crashed. The bulkhead was weakened by corrosion from a suspected leak in the lavatory."|"11:10"|"63"
"Tupolev TU-104B"|"021603"|"7"|"7"|"October 10, 1971"|"773"|"0"|"Moscow, Russia"|"Aeroflot"|"18"|"18"|"CCCP-42490"|"	Moscow - Simferopol"|"The airplane was climbing through an altitude of 1,200 m after takeoff when an explosion occurred. A TNT explosive device had been placed between the cabin wall and a passenger seat in the rear of the cabin 
The blast destroyed the flight controls. The airplane rolled to the right and descended until it collided with the ground."|"20:17"|"25"
"Cessna 402"|"?"|"1"|"1"|"October 16, 1971"|"?"|"0"|"Colorado City, Arizona"|"Scenic Air Lines"|"9"|"9"|"N3250Q"|"Las Vegas - Grand Canyon"|"The sightseeing plane crashed in rain/snow.  Continued VFR flight into adverse weather conditions. Pilot transmitted he was turning around do to weather conditions."|"09:45"|"10"
